"Name","Folder","Path","Bytes","Lines","Tokens","CodeLines"
"backlog-refinement.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\backlog-refinement.md","1654","57","414","0"
"backup-db.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\backup-db.md","1677","65","419","9"
"benchmark.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\benchmark.md","2196","103","549","35"
"build-mobile.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\build-mobile.md","3628","142","907","40"
"change-management.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\change-management.md","3731","121","933","0"
"clean-build.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\clean-build.md","1503","63","376","13"
"cloud-deployment.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\cloud-deployment.md","5233","153","1308","0"
"code-review.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\code-review.md","3900","122","975","21"
"compliance-audit.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\compliance-audit.md","5093","131","1273","0"
"create-skill.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\create-skill.md","4357","159","1089","56"
"create-workflow.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\create-workflow.md","3872","141","968","48"
"data-analytics.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\data-analytics.md","4826","126","1206","0"
"db-migration.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\db-migration.md","3874","141","968","22"
"debug-common-errors.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\debug-common-errors.md","8735","289","2184","87"
"debug.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\debug.md","6559","193","1640","49"
"deploy-mobile.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\deploy-mobile.md","4208","186","1052","77"
"deploy-production.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\deploy-production.md","3827","162","957","56"
"deploy.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\deploy.md","3307","142","827","21"
"design-review.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\design-review.md","4316","144","1079","24"
"dev-setup.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\dev-setup.md","2602","102","650","22"
"disaster-recovery.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\disaster-recovery.md","5903","185","1476","0"
"docker-dev.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\docker-dev.md","1475","59","369","6"
"docs-organization.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\docs-organization.md","3727","76","932","16"
"documentation.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\documentation.md","3806","155","952","69"
"e2e-test.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\e2e-test.md","1359","57","340","9"
"fix-bug.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\fix-bug.md","3748","105","937","0"
"generate-types.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\generate-types.md","1269","38","317","4"
"git-push.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\git-push.md","4229","182","1057","59"
"health-check.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\health-check.md","979","45","245","6"
"hotfix.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\hotfix.md","3320","121","830","23"
"i18n.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\i18n.md","3723","130","931","31"
"incident-management.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\incident-management.md","4102","143","1026","0"
"knowledge-sharing.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\knowledge-sharing.md","3234","112","808","0"
"learn.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\learn.md","4078","133","1020","48"
"mobile-debug.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\mobile-debug.md","7974","334","1994","156"
"mobile-test.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\mobile-test.md","3545","152","886","45"
"monitoring-setup.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\monitoring-setup.md","4637","138","1159","0"
"new-feature.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\new-feature.md","6188","203","1547","18"
"onboarding.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\onboarding.md","4796","200","1199","75"
"performance.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\performance.md","5055","177","1264","39"
"project-kickoff.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\project-kickoff.md","2292","89","573","0"
"quick-fix.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\quick-fix.md","2579","88","645","16"
"refactor.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\refactor.md","2979","101","745","6"
"release.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\release.md","1195","52","299","7"
"requirement-analysis.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\requirement-analysis.md","1787","57","447","0"
"retrospective.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\retrospective.md","3906","136","976","41"
"sdlc-master.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\sdlc-master.md","9253","221","2313","15"
"security-audit.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\security-audit.md","4714","164","1178","35"
"sprint-planning.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\sprint-planning.md","1831","62","458","0"
"support-ticket.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\support-ticket.md","4092","150","1023","6"
"sync-i18n.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\sync-i18n.md","1237","31","309","4"
"tech-debt.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\tech-debt.md","4513","127","1128","0"
"testing.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\testing.md","5036","195","1259","89"
"training.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\training.md","4002","119","1000","0"
"ui-ux-design.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\ui-ux-design.md","3575","100","894","0"
"update-deps.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\update-deps.md","3789","162","947","55"
"upgrade-skill.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\upgrade-skill.md","3969","126","992","24"
"upgrade-workflow.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\upgrade-workflow.md","3608","120","902","35"
